Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,com.thealgorithms.maths,AliquotSumTest,testGetMaxValue,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.AliquotSum.getAliquotSum; com.thealgorithms.maths.AliquotSum.getAliquotValue
.,com.thealgorithms.maths,AmicableNumberTest,testShouldThrowExceptionWhenInvalidRangeProvided,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,AmicableNumberTest,testShouldThrowExceptionWhenInvalidNumbersProvided,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,AmicableNumberTest,testAmicableNumbers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.maths,AreaTest,testAllIllegalInput,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
.,com.thealgorithms.maths,ArmstrongTest,testIsArmstrong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,com.thealgorithms.maths,AutomorphicNumberTest,testAutomorphicNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,com.thealgorithms.maths,AutomorphicNumberTest,testAutomorphicNumber,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.AutomorphicNumber.isAutomorphic; com.thealgorithms.maths.AutomorphicNumber.isAutomorphic2; com.thealgorithms.maths.AutomorphicNumber.isAutomorphic3
.,com.thealgorithms.maths,BinaryPowTest,testBinPow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,BinomialCoefficientTest,testBinomialCoefficient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,CeilTest,testCeil,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.maths,CollatzConjectureTest,sequenceOfNotNaturalFirstNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,CombinationsTest,testCombination,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,CombinationsTest,testCombinationOptimised,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,com.thealgorithms.maths,DigitalRootTest,testDigitalroot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,com.thealgorithms.maths,DudeneyNumberTest,isDudeney,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,FFTTest,multiplyWithComplexTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,FFTTest,multiplyWithScalarTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,FFTTest,conjugateTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,FFTTest,divideWithComplexTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,FFTTest,divideWithScalarTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,FFTTest,fft,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testWithNegativeIndexShouldThrowException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testCheckTheFirst4SequenceElements,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testCheck10thSequenceElement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testCheck20thSequenceElement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testCheck30thSequenceElement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testCheck40thSequenceElement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testCheck50thSequenceElement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testCheck100thSequenceElement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,FibonacciJavaStreamsTest,testCheck200thSequenceElement,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,FibonacciNumberCheckTest,testNumberIsFibonacciNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,com.thealgorithms.maths,FibonacciNumberCheckTest,testNumberIsNotFibonacciNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,FrizzyNumberTest,testFrizziesForBase2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.maths,FrizzyNumberTest,testFrizziesForBase3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.maths,FrizzyNumberTest,testFrizziesForBase69,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,HarshadNumberTest,harshadNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,com.thealgorithms.maths,JosephusProblemTest,testJosephusProblem,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,KaprekarNumbersTest,testForRangeOfNumber,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.maths,LiouvilleLambdaFunctionTest,testLiouvilleLambdaMustThrowExceptionIfNumberIsZero,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,LiouvilleLambdaFunctionTest,testLiouvilleLambdaMustThrowExceptionIfNumberIsNegative,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,LucasSeriesTest,lucasSeriesTwo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,LucasSeriesTest,lucasSeriesTwo,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.LucasSeries.lucasSeriesIteration; com.thealgorithms.maths.LucasSeries.lucasSeries
.,com.thealgorithms.maths,LucasSeriesTest,lucasSeriesOne,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,LucasSeriesTest,lucasSeriesOne,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.LucasSeries.lucasSeriesIteration; com.thealgorithms.maths.LucasSeries.lucasSeries
.,com.thealgorithms.maths,LucasSeriesTest,lucasSeriesSeven,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,LucasSeriesTest,lucasSeriesSeven,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.LucasSeries.lucasSeriesIteration; com.thealgorithms.maths.LucasSeries.lucasSeries
.,com.thealgorithms.maths,LucasSeriesTest,lucasSeriesEleven,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,LucasSeriesTest,lucasSeriesEleven,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.LucasSeries.lucasSeriesIteration; com.thealgorithms.maths.LucasSeries.lucasSeries
.,com.thealgorithms.maths,MobiusFunctionTest,testMobiusForZero,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,MobiusFunctionTest,testMobiusForNegativeNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,NthUglyNumberTest,testGetWithNewObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,NthUglyNumberTest,testGetWithSameObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,PalindromeNumberTest,testNumbersArePalindromes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,PalindromeNumberTest,testNumbersAreNotPalindromes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.maths,PalindromeNumberTest,testIfNegativeInputThenExceptionExpected,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,ParseIntegerTest,testNullInput,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,ParseIntegerTest,testInputOfIncorrectFormat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,ParseIntegerTest,testPositiveValueIsSuccessfullyConverted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.maths,ParseIntegerTest,testNegativeValueIsSuccessfullyConverted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,PerfectCubeTest,perfectCube,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
.,com.thealgorithms.maths,PerfectCubeTest,perfectCube,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.PerfectCube.isPerfectCubeMathCbrt; com.thealgorithms.maths.PerfectCube.isPerfectCube
.,com.thealgorithms.maths,PerfectNumberTest,perfectNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,PerfectNumberTest,perfectNumber,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.PerfectNumber.isPerfectNumber2; com.thealgorithms.maths.PerfectNumber.isPerfectNumber
.,com.thealgorithms.maths,PollardRhoTest,testPollardRhoForNumber239MustThrowException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,PrimeFactorizationTest,testpFactorsMustReturnNonEmptyList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.maths,PythagoreanTripleTest,Testpythagoreantriple,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
.,com.thealgorithms.maths,SquareFreeIntegerTest,testIsSquareFreeIntegerThrowExceptionIfNumberIsZero,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,SquareFreeIntegerTest,testIsSquareFreeIntegerMustThrowExceptionIfNumberIsNegative,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,SumOfDigitsTest,testZero,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.maths,SumOfDigitsTest,testZero,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.SumOfDigits.sumOfDigits; com.thealgorithms.maths.SumOfDigits.sumOfDigitsFast; com.thealgorithms.maths.SumOfDigits.sumOfDigitsRecursion
.,com.thealgorithms.maths,SumOfDigitsTest,testPositive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.maths,SumOfDigitsTest,testPositive,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.SumOfDigits.sumOfDigits; com.thealgorithms.maths.SumOfDigits.sumOfDigitsFast; com.thealgorithms.maths.SumOfDigits.sumOfDigitsRecursion
.,com.thealgorithms.maths,SumOfDigitsTest,testNegative,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.maths,SumOfDigitsTest,testNegative,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.SumOfDigits.sumOfDigits; com.thealgorithms.maths.SumOfDigits.sumOfDigitsFast; com.thealgorithms.maths.SumOfDigits.sumOfDigitsRecursion
.,com.thealgorithms.maths,SumWithoutArithmeticOperatorsTest,addZerotoNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,SumWithoutArithmeticOperatorsTest,addOddtoEven,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,SumWithoutArithmeticOperatorsTest,addEventoOdd,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,SumWithoutArithmeticOperatorsTest,addRandoms,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.maths,TestArmstrong,testArmstrong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,VolumeTest,volume,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,com.thealgorithms.maths,VolumeTest,volume,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.maths.Volume.volumeSphere; com.thealgorithms.maths.Volume.volumeCylinder; com.thealgorithms.maths.Volume.volumePrism; com.thealgorithms.maths.Volume.volumeCube; com.thealgorithms.maths.Volume.volumePyramid; com.thealgorithms.maths.Volume.volumeCuboid; com.thealgorithms.maths.Volume.volumeHemisphere; com.thealgorithms.maths.Volume.volumeCone
.,com.thealgorithms.others,countSetBitsTest,testSetBits,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.others,LowestBasePalindromeTest,testIsPalindromicPositive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.others,LowestBasePalindromeTest,testIsPalindromicNegative,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.others,LowestBasePalindromeTest,testIsPalindromicInBasePositive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.others,LowestBasePalindromeTest,testIsPalindromicInBaseNegative,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.others,SieveOfEratosthenesTest,testfFindPrimesTill4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.others,SieveOfEratosthenesTest,testfFindPrimesTill40,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.others,SieveOfEratosthenesTest,testfFindPrimesTill240,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.others.cn,HammingDistanceTest,mismatchDataBits,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.others.cn,HammingDistanceTest,mismatchDataBits2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.others.cn,HammingDistanceTest,computeThrowsExceptionWhenInputsAreNotBitStrs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.scheduling,FCFSSchedulingTest,testingProcesses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,com.thealgorithms.scheduling,FCFSSchedulingTest,testingProcesses,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.devutils.entities.ProcessDetails.getTurnAroundTimeTime; com.thealgorithms.devutils.entities.ProcessDetails.getWaitingTime; com.thealgorithms.devutils.entities.ProcessDetails.getProcessId; com.thealgorithms.scheduling.FCFSScheduling.scheduleProcesses
.,com.thealgorithms.scheduling,RRSchedulingTest,testingProcesses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
.,com.thealgorithms.scheduling,RRSchedulingTest,testingProcesses,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.devutils.entities.ProcessDetails.getTurnAroundTimeTime; com.thealgorithms.devutils.entities.ProcessDetails.getWaitingTime; com.thealgorithms.devutils.entities.ProcessDetails.getProcessId; com.thealgorithms.scheduling.RRScheduling.scheduleProcesses
.,com.thealgorithms.scheduling,SJFSchedulingTest,constructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.scheduling,SJFSchedulingTest,sort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,com.thealgorithms.scheduling,SJFSchedulingTest,sort,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.scheduling.SJFScheduling.sortByArrivalTime; com.thealgorithms.devutils.entities.ProcessDetails.getProcessId
.,com.thealgorithms.scheduling,SJFSchedulingTest,scheduling,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,com.thealgorithms.scheduling,SJFSchedulingTest,schedulingOf_TwoProcesses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.scheduling,SJFSchedulingTest,schedulingOfA_ShortestJobArrivingLast,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.scheduling,SJFSchedulingTest,scheduling_WithProcessesNotComingBackToBack,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestMiddle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestMiddleSide,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestUpper,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestUpperSide,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestLower,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestLowerSide,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestNotFound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestOneRow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestTargetInMiddle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.searches,BinarySearch2dArrayTest,BinarySearch2dArrayTestTargetAboveMiddleRowInMiddleColumn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.searches,BreadthFirstSearchTest,searchI,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BreadthFirstSearchTest,searchG,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,BreadthFirstSearchTest,searchE,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,HowManyTimesRotatedTest,testHowManyTimesRotated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,QuickSelectTest,quickSelectMinimumOfTwoElements,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,QuickSelectTest,quickSelectMinimumOfThreeElements,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.searches,QuickSelectTest,quickSelectMaximumOfTwoElements,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,QuickSelectTest,quickSelectMaximumOfThreeElements,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.searches,QuickSelectTest,quickSelectMedianOfThreeElements,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.searches,QuickSelectTest,quickSelectNullList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,QuickSelectTest,quickSelectEmptyList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,QuickSelectTest,quickSelectIndexOutOfLeftBound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,QuickSelectTest,quickSelectIndexOutOfRightBound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,RowColumnWiseSorted2dArrayBinarySearchTest,rowColumnSorted2dArrayBinarySearchTestMiddle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,RowColumnWiseSorted2dArrayBinarySearchTest,rowColumnSorted2dArrayBinarySearchTestSide,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,RowColumnWiseSorted2dArrayBinarySearchTest,rowColumnSorted2dArray_BinarySearchTestUpper,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,RowColumnWiseSorted2dArrayBinarySearchTest,rowColumnSorted2dArray_BinarySearchTestUpperSide,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,RowColumnWiseSorted2dArrayBinarySearchTest,rowColumnSorted2dArray_BinarySearchTestLower,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,RowColumnWiseSorted2dArrayBinarySearchTest,rowColumnSorted2dArray_BinarySearchTestLowerSide,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.searches,RowColumnWiseSorted2dArrayBinarySearchTest,rowColumnSorted2dArray_BinarySearchTestNotFound,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.sorts,InsertionSortTest,insertionSortSortEmptyArrayShouldPass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.sorts,InsertionSortTest,insertionSortClassicalSortSingleValueArrayShouldPass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.sorts,InsertionSortTest,insertionSortClassicalWithIntegerArrayShouldPass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.sorts,InsertionSortTest,insertionSortClassicalForArrayWithNegativeValuesShouldPass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.sorts,InsertionSortTest,insertionSortClassicalForArrayWithDuplicateValuesShouldPass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.sorts,InsertionSortTest,insertionSortClassicalWithStringArrayShouldPass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.sorts,InsertionSortTest,insertionSortClassicalWithRandomArrayPass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.sorts,SortUtilsTest,isSortedArrayTrue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.sorts,SortUtilsTest,isSortedArrayFalse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.sorts,SortUtilsTest,isSortedListTrue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.sorts,SortUtilsTest,isSortedListFalse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.sorts,TopologicalSortTest,failureTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.strings,AlphabeticalTest,isAlphabetical,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
